date,product,category,sales,quantity,customer_id
2026-01-01,Laptop Pro,Electronics,1500,1,C001
2026-01-02,Mouse Wireless,Electronics,25,2,C002
2026-01-03,Monitor 4K,Electronics,400,1,C003
2026-01-04,Keyboard RGB,Electronics,80,1,C004
2026-01-05,Webcam HD,Electronics,60,1,C005
2026-01-06,Headphones BT,Electronics,120,2,C006
2026-01-07,Laptop Pro,Electronics,1500,1,C007
2026-01-08,Mouse Wireless,Electronics,25,3,C008
2026-01-09,Monitor 4K,Electronics,400,1,C009
2026-01-10,Keyboard RGB,Electronics,80,2,C010
2026-01-11,Smartphone X,Electronics,800,1,C011
2026-01-12,Cargador USB-C,Electronics,20,5,C012
2026-01-13,Silla Oficina,Equipment,250,1,C013
2026-01-14,Escritorio Madera,Equipment,450,1,C014
2026-01-15,Impresora Laser,Equipment,300,1,C015
2026-01-16,Toner Negro,Supplies,50,2,C016
2026-01-17,Papel A4 Reams,Supplies,30,10,C017
2026-01-18,Laptop Pro,Electronics,1500,1,C018
2026-01-19,Mouse Wireless,Electronics,25,4,C019
2026-01-20,Monitor 4K,Electronics,400,1,C020
2026-01-21,Smartphone X,Electronics,800,2,C021
2026-01-22,Cargador USB-C,Electronics,20,3,C022
2026-01-23,Silla Oficina,Equipment,250,2,C023
2026-01-24,Escritorio Madera,Equipment,450,1,C024
2026-01-25,Toner Negro,Supplies,50,1,C025
2026-02-01,Laptop Pro,Electronics,1500,1,C026
2026-02-02,Mouse Wireless,Electronics,25,2,C027
2026-02-03,Monitor 4K,Electronics,400,1,C028
2026-02-04,Keyboard RGB,Electronics,80,1,C029
2026-02-05,Webcam HD,Electronics,60,1,C030
2026-02-06,Headphones BT,Electronics,120,1,C031
2026-02-07,Laptop Pro,Electronics,1500,1,C032
2026-02-08,Mouse Wireless,Electronics,25,3,C033
2026-02-09,Monitor 4K,Electronics,400,2,C034
2026-02-10,Keyboard RGB,Electronics,80,1,C035
2026-02-11,Smartphone X,Electronics,800,1,C036
2026-02-12,Cargador USB-C,Electronics,20,5,C037
2026-02-13,Silla Oficina,Equipment,250,1,C038
2026-02-14,Escritorio Madera,Equipment,450,1,C039
2026-02-15,Impresora Laser,Equipment,300,1,C040
2026-02-16,Toner Negro,Supplies,50,2,C041
2026-02-17,Papel A4 Reams,Supplies,30,5,C042
2026-02-18,Laptop Pro,Electronics,1500,1,C043
2026-02-19,Mouse Wireless,Electronics,25,4,C044
2026-02-20,Monitor 4K,Electronics,400,1,C045
2026-02-21,Smartphone X,Electronics,800,2,C046
2026-02-22,Cargador USB-C,Electronics,20,3,C047
2026-02-23,Silla Oficina,Equipment,250,2,C048
2026-02-24,Escritorio Madera,Equipment,450,1,C049
2026-02-25,Toner Negro,Supplies,50,1,C050
